ID,CNIG,NUTS,Name
ES-AN,01,ES61,Andalucía
ES-AR,02,ES24,Aragón
ES-AS,03,ES12,Principado de Asturias
ES-IB,04,ES53,Illes Balears
ES-CN,05,ES70,Canarias
ES-CB,06,ES13,Cantabria
ES-CL,07,ES41,Castilla y León
ES-CM,08,ES42,Castilla - La Mancha
ES-CT,09,ES51,Cataluña
ES-VC,10,ES52,Comunitat Valenciana
ES-EX,11,ES43,Extremadura
ES-GA,12,ES11,Galicia
ES-MD,13,ES30,Comunidad de Madrid
ES-MC,14,ES62,Región de Murcia
ES-NC,15,ES22,Comunidad Foral de Navarra
ES-PV,16,ES21,País Vasco
ES-RI,17,ES23,La Rioja
ES-CE,18,ES63,Ceuta
ES-ML,19,ES64,Melilla