UF,1872,1890,1900,1920,1940,1950,1960,1970,1980,1991,2000,2010
Rondonia,-,-,-,-,-,"0,1","0,1","0,1","0,4","0,8","0,8","0,8"
Acre,-,-,-,"0,3","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,4"
Amazonas,"0,6",1,"1,4","1,2","1,1",1,1,1,"1,2","1,4","1,7","1,8"
Roraima,-,-,-,-,-,0,0,0,"0,1","0,2","0,2","0,2"
Para,"2,8","2,3","2,6","3,2","2,3","2,2","2,2","2,3","2,9","3,5","3,7",4
Amapa,-,-,-,-,-,"0,1","0,1","0,1","0,2","0,2","0,3","0,4"
Tocantins,-,-,-,-,"0,4","0,4","0,5","0,6","0,6","0,6","0,7","0,7"
Maranhao,"3,6",3,"2,9","2,9",3,"3,1","3,5","3,2","3,4","3,4","3,3","3,5"
Piaui,2,"1,9","1,9",2,2,2,"1,8","1,8","1,8","1,8","1,7","1,6"
Ceara,"7,3","5,6","4,9","4,3","5,1","5,2","4,7","4,8","4,4","4,3","4,4","4,4"
Rio Grande do Norte,"2,4","1,9","1,6","1,8","1,9","1,9","1,6","1,7","1,6","1,6","1,6","1,7"
Paraiba,"3,8","3,2","2,8","3,1","3,5","3,3","2,8","2,6","2,3","2,2",2,2
Pernambuco,"8,5","7,2","6,8",7,"6,5","6,5","5,8","5,6","5,2","4,9","4,7","4,6"
Alagoas,"3,5","3,6","3,7","3,2","2,3","2,1","1,8","1,7","1,7","1,7","1,7","1,6"
Sergipe,"1,8","2,2",2,"1,6","1,3","1,2","1,1",1,1,1,"1,1","1,1"
Bahia,"13,9","13,4","12,2","10,9","9,5","9,3","8,4",8,"7,9","8,1","7,7","7,4"
Minas Gerais,"20,5","22,2","20,6","19,2","16,4",15,14,"12,3","11,3","10,7","10,5","10,3"
Espirito Santo,"0,8",1,"1,2","1,5","1,9","1,8",2,"1,7","1,7","1,8","1,8","1,8"
Rio de Janeiro,"10,7","9,8",10,"8,9","8,8",9,"9,5","9,6","9,5","8,7","8,5","8,4"
Sao Paulo,"8,4","9,7","13,1",15,"17,4","17,6","18,3",19,21,"21,5","21,8","21,6"
Parana,"1,3","1,7","1,9","2,2",3,"4,1","6,1","7,4","6,4","5,8","5,6","5,5"
Santa Catarina,"1,6",2,"1,8","2,2","2,9",3,3,"3,1",3,"3,1","3,2","3,3"
Rio Grande do Sul,"4,4","6,3","6,6","7,1","8,1",8,"7,7","7,2","6,6","6,2",6,"5,6"
Mato Grosso do Sul,-,-,-,-,"0,6","0,6","0,8","1,1","1,2","1,2","1,2","1,3"
Mato Grosso,"0,6","0,7","0,7","0,8","0,5","0,4","0,5","0,7",1,"1,4","1,5","1,6"
Goias,"1,6","1,6","1,5","1,7","1,6",2,"2,3","2,6","2,7","2,7",3,"3,2"