Name,Gross regional product (GRP) (100 million yuan) 2017,GRP 2016,GRP 2015,GRP 2014,GRP 2013,GRP 2012,GRP 2011,GRP 2010,GRP 2009
Anhui,27018.00,24407.62,22005.63,20848.75,19229.34,17212.05,15300.65,12359.33,10062.82
Beijing,28014.94,25669.13,23014.59,21330.83,19800.81,17879.40,16251.93,14113.58,12153.03
Chongqing,19424.73,17740.59,15717.27,14262.60,12783.26,11409.60,10011.37,7925.58,6530.01
Fujian,32182.09,28810.58,25979.82,24055.76,21868.49,19701.78,17560.18,14737.12,12236.53
Gansu,7459.90,7200.37,6790.32,6836.82,6330.69,5650.20,5020.37,4120.75,3387.56
Guangdong,89705.23,80854.91,72812.55,67809.85,62474.79,57067.92,53210.28,46013.06,39482.56
Guangxi,18523.26,18317.64,16803.12,15672.89,14449.90,13035.10,11720.87,9569.85,7759.16
Guizhou,13540.83,11776.73,10502.56,9266.39,8086.86,6852.20,5701.84,4602.16,3912.68
Hainan,4462.54,4053.20,3702.76,3500.72,3177.56,2855.54,2522.66,2064.50,1654.21
Hebei,34016.32,32070.45,29806.11,29421.15,28442.95,26575.01,24515.76,20394.26,17235.48
Heilongjiang,15902.68,15386.09,15083.67,15039.38,14454.91,13691.58,12582.00,10368.60,8587.00
Henan,44552.83,40471.79,37002.16,34938.24,32191.30,29599.31,26931.03,23092.36,19480.46
Hubei,35478.09,32665.38,29550.19,27379.22,24791.83,22250.45,19632.26,15967.61,12961.10
Hunan,33902.96,31551.37,28902.21,27037.32,24621.67,22154.23,19669.56,16037.96,13059.69
Inner Mongolia,16096.21,18128.10,17831.51,17770.19,16916.50,15880.58,14359.88,11672.00,9740.25
Jiangsu,85869.76,77388.28,70116.38,65088.32,59753.37,54058.22,49110.27,41425.48,34457.30
Jiangxi,20006.31,18499.00,16723.78,15714.63,14410.19,12948.88,11702.82,9451.26,7655.18
Jilin,14944.53,14776.80,14063.13,13803.14,13046.40,11939.24,10568.83,8667.58,7278.75
Liaoning,23409.24,22246.90,28669.02,28626.58,27213.22,24846.43,22226.70,18457.27,15212.49
Ningxia,3443.56,3168.59,2911.77,2752.10,2577.57,2341.29,2102.21,1689.65,1353.31
Qinghai,2624.83,2572.49,2417.05,2303.32,2122.06,1893.54,1670.44,1350.43,1081.27
Shaanxi,21898.81,19399.59,18021.86,17689.94,16205.45,14453.68,12512.30,10123.48,8169.80
Shandong,72634.15,68024.49,63002.33,59426.59,55230.32,50013.24,45361.85,39169.92,33896.65
Shanghai,30632.99,28178.65,25123.45,23567.70,21818.15,20181.72,19195.69,17165.98,15046.45
Shanxi,15528.42,13050.41,12766.49,12761.49,12665.25,12112.83,11237.55,9200.86,7358.31
Sichuan,36980.22,32934.54,30053.10,28536.66,26392.07,23872.80,21026.68,17185.48,14151.28
Tianjin,18549.19,17885.39,16538.19,15726.93,14442.01,12893.88,11307.28,9224.46,7521.85
Tibet,1310.92,1151.41,1026.39,920.83,815.67,701.03,605.83,507.46,441.36
Xinjiang,10881.96,9649.70,9324.80,9273.46,8443.84,7505.31,6610.05,5437.47,4277.05
Yunnan,16376.34,14788.42,13619.17,12814.59,11832.31,10309.47,8893.12,7224.18,6169.75
Zhejiang,51768.26,47251.36,42886.49,40173.03,37756.59,34665.33,32318.85,27722.31,22990.35
Macao,,,,,,,,,
Hong Kong,,,,,,,,,