Pays,2004 - % achat sur internet,2007 - % achat sur internet,2010 - % achat sur internet,2013 - % achat sur internet,2016 - % achat sur internet,2010-2013 - % évolution achat internet
Belgique,:,21,38,48,57,50
Bulgarie,1,3,5,12,17,240
République tchèque,5,17,27,36,47,74
Danemark,42,56,68,77,82,21
Allemagne,37,52,60,69,74,23
Estonie,6,9,17,23,56,229
Irlande,14,33,36,46,59,64
Grèce,1,8,12,25,31,158
Espagne,8,18,24,32,44,83
France,:,34,54,59,66,22
Croatie,:,7,14,26,33,136
Italie,:,10,15,20,29,93
Chypre,4,10,18,25,29,61
Lettonie,3,11,17,32,44,159
Lituanie,1,6,11,26,33,200
Luxembourg,40,47,60,70,78,30
Hongrie,4,11,18,29,39,117
Malte,:,20,38,46,47,24
Pays-Bas,24,55,67,69,74,10
Autriche,19,36,42,54,58,38
Pologne,5,16,29,32,42,45
Portugal,5,9,15,25,31,107
Roumanie,0,3,4,8,12,200
Slovénie,8,16,27,36,40,48
Slovaquie,10,16,33,44,56,70
Finlande,33,48,59,65,67,14
Suède,43,53,66,73,76,15
Royaume-Uni,37,53,67,77,83,24
Islande,37,50,45,56,:,
Norvège,41,63,71,73,78,10
Suisse,:,:,:,:,:,
Monténégro,:,:,:,:,:,
Macédoine,:,:,4,6,15,275
Serbie,:,2,:,:,:,
Turquie,1,2,5,10,17,240