ISO3,Country,Exportations (somme 2012-2016) en US$,Importations (somme 2012-2016) en US$,Indice de Transparence 2017 (Small Arms Survey)
USA,United States of America,5227716909,11377585547,"14,25"
ITA,Italy,3000942647,471654060,"15,75"
DEU,Germany,2289964977,882172844,"20,25"
BRA,Brazil,1665547060,86095411,"7,5"
KOR,South Korea,1582617539,510399283,
TUR,Turkey,1018715254,298626598,10
CZE,Czech Republic,723703120,134733053,"14,75"
HRV,Croatia,670054991,96522057,15
CHE,Switzerland,632176637,162539209,20
ESP,Spain,537234399,274725518,"15,5"
CAN,Canada,450445644,1585142827,"12,25"
FIN,Finland,429403228,120661822,"14,5"
FRA,France,409794917,634848229,"16,25"
JPN,Japan,409545861,149163245,"9,25"
NOR,Norway,405695860,494228288,15
BEL,Belgium,367622472,261908846,16
PRT,Portugal,300429422,214416519,16
SRB,Serbia,286479461,11653874,"19,5"
AUT,Austria,250574906,213975761,"12,25"
IND,India,220532489,47326220,"8,75"
MEX,Mexico,214311908,346848735,"9,75"
PHL,Philippines,197220957,235760833,"8,75"
SWE,Sweden,188078529,173402198,"16,75"
RUS,Russia,170945302,229983342,"10,5"
SVK,Slovakia,151207591,191203264,"16,25"
AUS,Australia,150376841,643587979,12
CHN,China,146620501,27211799,"8,5"
POL,Poland,130650969,189196250,"15,25"
CYP,Cyprus,93533950,47293154,"8,75"
GRC,Greece,85083819,43378103,
ARG,Argentina,73073726,74961336,"7,5"
DNK,Denmark,69756271,189427010,14
TWN,Taiwan,63043317,27012504,"7,25"
PER,Peru,40164237,56156925,"5,5"
ARE,United Arab Emirates,32826632,107617004,0
NZL,New Zealand,30997628,151320739,
THA,Thailand,30955493,438354964,"10,25"
LTU,Lithuania,27083962,46198702,
NLD,Netherlands,23942877,290313617,"19,5"
PAK,Pakistan,22474368,59046965,"8,5"
SVN,Slovenia,16018226,7163597,
NAM,Namibia,12482700,41466650,
COL,Colombia,12449662,103483405,
CIV,Ivory Coast,11793682,54497805,
ZMB,Zambia,11731962,3743534,
MLT,Malta,11348869,12873110,
IDN,Indonesia,9924414,924184399,
MNE,Montenegro,8266901,3598529,
HKG,Hong Kong,7528824,16202912,
IRL,Ireland,5640121,28024301,
LUX,Luxembourg,5439553,31069639,
EST,Estonia,5353456,73046103,
SGP,Singapore,4820325,9969266,7
KWT,Kuwait,3424683,65945295,
CAF,Central African Republic,2987337,59707619,
QAT,Qatar,2878824,151626634,
MYS,Malaysia,2860447,37437704,
UGA,Uganda,2595734,227674,
SEN,Senegal,2380480,10418758,
LKA,Sri Lanka,2332076,3506171,
SLV,El Salvador,2251680,14946046,
LVA,Latvia,2070499,36005878,
BGD,Bangladesh,1565123,65919552,
CHL,Chile,1347651,41740868,
KHM,Cambodia,1319075,56271750,
LBN,Lebanon,1190877,73806250,
TZA,Tanzania,1139342,2237832,
MLI,Mali,941286,12658319,
BRB,Barbados,893126,1396004,
HUN,Hungary,754436,10968632,"15,25"
KEN,Kenya,645149,6601336,
EGY,Egypt,551935,26885189,
HND,Honduras,420350,16158107,
COG,Republic of Congo,375579,18681910,
BHR,Bahrain,205011,885455,
AND,Andorra,174745,1219910,
FJI,Fiji,158489,6601738,
TON,Tonga Islands,157354,30593,
ARM,Armenia,145252,92564,
LAO,Laos,126455,596550,
GTM,Guatemala,113036,50467503,
SYC,Seychelles,89124,571061,
JAM,Jamaica,74860,15755172,
DOM,Dominican Republic,66214,30596606,
BWA,Botswana,64226,23785479,
NCL,New Caledonia,59738,17542101,
GHA,Ghana,56192,202628626,
MDG,Madagascar,53877,790456,
NGA,Nigeria,53766,861878,
GUY,Guyana,52980,1718576,
MUS,Mauritius,37290,2080854,
ABW,Aruba,36447,684233,
PAN,Panama,27134,5619119,
PYF,French Polynesia,23318,2105131,
URY,Uruguay,22000,13646900,
ISL,Iceland,19182,8682705,
NIC,Nicaragua,16877,4946454,
ETH,Ethiopia,16749,994162,
BDI,Burundi,16166,15561,
BFA,Burkina Faso,14767,11556099,
LCA,St. Lucia,14528,249121,
ZWE,Zimbabwe,14062,1577054,
GRL,Greenland,10081,4205539,
CPV,Cape Verde,8150,692665,
COM,Comoros,7109,,
BHS,Bahamas,6600,1338166,
OMN,Oman,5826,1694892,
MOZ,Mozambique,5440,1453378,
ATG,Antigua & Barbuda,4804,222244,
CMR,Cameroun,4086,15515290,
BEN,Benin,3373,54273,
NER,Niger,3269,28117191,
SUR,Surinam,3000,2071674,
NPL,Nepal,1681,18626397,
STP,Sao Tome-Principe,1262,117318,
CRI,Costa Rica,865,12610016,
TUN,Tunisia,663,16836295,
MWI,Malawi,299,32902530,
ECU,Ecuador,14,1524051,
GBR,United Kingdom,,571275924,"19,25"
MAR,Morocco,,56630908,
PRY,Paraguay,,51235000,
YEM,Yemen,,21184310,
SDN,Sudan,,12455985,
BOL,Bolivia,,6816711,
TTO,Trinidad and Tobago,,4179483,
IRQ,Iraq,,4139873,
AGO,Angola,,3535405,
BLZ,Belize,,3046043,
MNG,Mongolia,,2353207,
VEN,Venezuela,,1593583,
MAC,Macao,,1263117,
TLS,East Timor,,887498,
TGO,Togo,,672303,
MDV,Maldive Islands,,617434,
PNG,Papua New Guinea,,580511,
BMU,Bermuda,,396997,
MRT,Mauritania,,343716,
RWA,Rwanda,,315002,
SLE,Sierra Leone,,252367,
SLB,Solomon Islands,,238448,
WSM,Samoa,,194853,
VCT,St. Vincent and the Grenadines,,189742,
GIN,Guinea,,104227,
DMA,Dominica,,46240,
PLW,Palau,,28005,
GMB,Gambia,,17826,
TCA,Turks and Caicos,,14216,
KIR,Kiribati,,6106,
FSM,Micronesia,,3812,
BIH,Bosnia and Herzegovina,,,"4,5"
BGR,Bulgaria,,,"13,5"
IRN,Iran,,,0
ISR,Israel,,,0
PRK,North Korea,,,0
ROU,Romania,,,"18,75"
SAU,Saudi Arabia,,,0
ZAF,South Africa,,,"8,25"
KOR,South Korea,,,"9,25"
UKR,Ukraine,,,"7,5"